Species,Mean Group,Value
Clostridia,MEAN Male WT ,5.150181102
Clostridia,MEAN Female WT,3.401514518
Clostridia,MEAN Male KO,9.340209701
Clostridia,MEAN Female KO,7.991356457
Clostridiales,MEAN Male WT ,4.562270088
Clostridiales,MEAN Female WT,2.966522083
Clostridiales,MEAN Male KO,9.021350291
Clostridiales,MEAN Female KO,7.587874894
Bacteroidia,MEAN Male WT ,4.448895487
Bacteroidia,MEAN Female WT,3.958295385
Bacteroidia,MEAN Male KO,3.900552328
Bacteroidia,MEAN Female KO,4.823342695
Bacteroidales,MEAN Male WT ,4.448895487
Bacteroidales,MEAN Female WT,3.958295385
Bacteroidales,MEAN Male KO,3.900552328
Bacteroidales,MEAN Female KO,4.823342695
Proteobacteria,MEAN Male WT ,3.127130507
Proteobacteria,MEAN Female WT,2.61922478
Proteobacteria,MEAN Male KO,2.651845281
Proteobacteria,MEAN Female KO,3.720608816
No hit,MEAN Male WT ,2.591263064
No hit,MEAN Female WT,2.574959645
No hit,MEAN Male KO,2.780089488
No hit,MEAN Female KO,3.246532681
uncultured Bacteroidales bacterium,MEAN Male WT ,1.758570161
uncultured Bacteroidales bacterium,MEAN Female WT,2.649136395
uncultured Bacteroidales bacterium,MEAN Male KO,1.778353177
uncultured Bacteroidales bacterium,MEAN Female KO,2.939499827
environmental samples,MEAN Male WT ,1.758570161
environmental samples,MEAN Female WT,2.649136395
environmental samples,MEAN Male KO,1.778353177
environmental samples,MEAN Female KO,2.939499827
environmental samples,MEAN Male WT ,2.295567214
environmental samples,MEAN Female WT,1.865998392
environmental samples,MEAN Male KO,1.912356881
environmental samples,MEAN Female KO,1.550111177
uncultured Bacteroidetes bacterium,MEAN Male WT ,1.914296485
uncultured Bacteroidetes bacterium,MEAN Female WT,1.53135741
uncultured Bacteroidetes bacterium,MEAN Male KO,1.44496183
uncultured Bacteroidetes bacterium,MEAN Female KO,0.880751632
environmental samples,MEAN Male WT ,1.222367649
environmental samples,MEAN Female WT,1.068142418
environmental samples,MEAN Male KO,1.477864859
environmental samples,MEAN Female KO,0.890302563
uncultured Firmicutes bacterium,MEAN Male WT ,1.220402253
uncultured Firmicutes bacterium,MEAN Female WT,1.064780584
uncultured Firmicutes bacterium,MEAN Male KO,1.475916521
uncultured Firmicutes bacterium,MEAN Female KO,0.885299135
delta/epsilon subdivisions,MEAN Male WT ,0.419192101
delta/epsilon subdivisions,MEAN Female WT,0.47773369
delta/epsilon subdivisions,MEAN Male KO,1.033798926
delta/epsilon subdivisions,MEAN Female KO,1.249047934
Deltaproteobacteria,MEAN Male WT ,0.419192101
Deltaproteobacteria,MEAN Female WT,0.47773369
Deltaproteobacteria,MEAN Male KO,1.033798926
Deltaproteobacteria,MEAN Female KO,1.249047934
Not assigned due to threshold,MEAN Male WT ,0.615484417
Not assigned due to threshold,MEAN Female WT,0.694303928
Not assigned due to threshold,MEAN Male KO,0.508945928
Not assigned due to threshold,MEAN Female KO,0.953109891
uncultured rumen bacterium 5cARRO,MEAN Male WT ,0.381270729
uncultured rumen bacterium 5cARRO,MEAN Female WT,0.334534264
uncultured rumen bacterium 5cARRO,MEAN Male KO,0.467395051
uncultured rumen bacterium 5cARRO,MEAN Female KO,0.669359545
environmental samples,MEAN Male WT ,0.364862221
environmental samples,MEAN Female WT,0.306611905
environmental samples,MEAN Male KO,0.647283542
environmental samples,MEAN Female KO,0.469877388
uncultured Clostridiales bacterium,MEAN Male WT ,0.362145029
uncultured Clostridiales bacterium,MEAN Female WT,0.302711513
uncultured Clostridiales bacterium,MEAN Male KO,0.644764467
uncultured Clostridiales bacterium,MEAN Female KO,0.467115258
Bacilli,MEAN Male WT ,0.136677686
Bacilli,MEAN Female WT,0.46793672
Bacilli,MEAN Male KO,0.107926353
Bacilli,MEAN Female KO,0.578305427
Lactobacillales,MEAN Male WT ,0.13605755
Lactobacillales,MEAN Female WT,0.467699014
Lactobacillales,MEAN Male KO,0.106933744
Lactobacillales,MEAN Female KO,0.576888713
