SAMPLE,VALUE
Sample01,0.00753002
Sample02,0
Sample03,0.000355
Sample04,0
Sample05,0.000216
Sample06,0.000764
Sample07,0
Sample08,0.00041
Sample09,0
Sample10,0.000622
Sample11,0.000654
Sample12,0.00057
Sample13,0.000417
Sample14,0.0000326
Sample15,0.0000943
Sample16,0.00264814
Sample17,0.00013
Sample18,0
Sample19,0
Sample20,0
Sample21,0
Sample22,0
Sample23,0
Sample24,0
Sample25,0
Sample26,0
Sample27,0
Sample28,0
Sample29,0
Sample30,0.000259
Sample31,0
Sample32,0.0000362
Sample33,0.0000341
Sample34,0.0000588
Sample35,0
Sample36,0.000239
Sample37,0
Sample38,0
Sample39,0
Sample40,0
Sample41,0.000879
Sample42,0
Sample43,0.000108
Sample44,0
Sample45,0
Sample46,0
Sample47,0.000124
Sample48,0.0000792
Sample49,0
Sample50,0
Sample51,0
Sample52,0.000586
Sample53,0
Sample54,0
Sample55,0.000293
Sample56,0.0003
Sample57,0
Sample58,0
Sample59,0
Sample60,0
Sample61,0.000141
Sample62,0
Sample63,0
Sample64,0.001705449
Sample65,0.0000625
Sample66,0.0000971
Sample67,0.001006706
Sample68,0.000199
Sample69,0.00026
Sample70,0.000479
Sample71,0.000494
Sample72,0
Sample73,0
Sample74,0
Sample75,0
Sample76,0.000177
Sample77,0.0000393
Sample78,0
Sample79,0
Sample80,0.0000724
Sample81,0.000422
Sample82,0.000635
Sample83,0.000209
Sample84,0.00019
Sample85,0.000198
Sample86,0.000384
Sample87,0
Sample88,0.000103
Sample89,0.0000737
Sample90,0
Sample91,0
Sample92,0.000832
Sample93,0.0000522
Sample94,0
Sample95,0
Sample96,0.000591
Sample97,0.000132
Sample98,0.000159
Sample99,0
